user_id,fund_id,quantity,trade_date
A1B2C3D4E5,765432,49,2023-10-01
A1B2C3D4E5,456789,79,2023-10-02
A1B2C3D4E5,765432,55,2023-10-03
A1B2C3D4E5,456789,72,2023-10-05
A1B2C3D4E5,123456,25,2023-10-06
A1B2C3D4E5,123456,89,2023-10-07
A1B2C3D4E5,456789,76,2023-10-08
A1B2C3D4E5,123456,22,2023-10-09
A1B2C3D4E5,987654,61,2023-10-10
A1B2C3D4E5,123456,68,2023-10-11
A1B2C3D4E5,123456,38,2023-10-12
A1B2C3D4E5,123456,11,2023-10-14
A1B2C3D4E5,987654,87,2023-10-15
A1B2C3D4E5,765432,42,2023-10-16
A1B2C3D4E5,987654,62,2023-10-17
A1B2C3D4E5,765432,37,2023-10-18
A1B2C3D4E5,765432,35,2023-10-20
A1B2C3D4E5,765432,70,2023-10-21
A1B2C3D4E5,987654,70,2023-10-22
A1B2C3D4E5,987654,91,2023-10-23
A1B2C3D4E5,987654,55,2023-10-24
A1B2C3D4E5,456789,61,2023-10-26
A1B2C3D4E5,987654,37,2023-10-27
A1B2C3D4E5,987654,53,2023-10-28
A1B2C3D4E5,123456,86,2023-10-29
A1B2C3D4E5,765432,11,2023-10-30
A1B2C3D4E5,456789,62,2023-10-31
A1B2C3D4E5,456789,68,2023-11-01
A1B2C3D4E5,456789,52,2023-11-06
A1B2C3D4E5,765432,51,2023-11-08
A1B2C3D4E5,456789,18,2023-11-10
A1B2C3D4E5,456789,89,2023-11-11
A1B2C3D4E5,456789,68,2023-11-12
A1B2C3D4E5,765432,49,2023-11-13
A1B2C3D4E5,456789,58,2023-11-14
A1B2C3D4E5,987654,61,2023-11-15
A1B2C3D4E5,456789,32,2023-11-16
A1B2C3D4E5,123456,34,2023-11-18
A1B2C3D4E5,123456,14,2023-11-20
A1B2C3D4E5,123456,47,2023-11-21
A1B2C3D4E5,765432,20,2023-11-23
A1B2C3D4E5,123456,42,2023-11-24
A1B2C3D4E5,123456,12,2023-11-25
A1B2C3D4E5,987654,17,2023-11-26
